year,plot,plotLoc,AMFInoc,biochar,block,mass_8mm,mass_4mm,mass_2mm,mass_1mm,mass_0-5mm,mass_0-25mm,mass_fine,totalMass,perc_8mm,perc_4mm,perc_2mm,perc_1mm,perc_0-5mm,perc_0-25mm,perc_fine
2013,16,Center,N,H,3,26.729,19.881,19.997,17.156,12.24,7.287,4.986,108.276,0.246859877,0.183614097,0.184685434,0.158446932,0.113044442,0.067300233,0.046048986
2013,16,Ring,N,H,3,14.517,16.893,21.194,19.727,13.636,7.818,10.718,104.503,0.138914672,0.161650862,0.202807575,0.1887697,0.130484292,0.074811249,0.102561649
2013,17,Center,Y,H,3,11.76,19.636,13.623,12.151,9.128,6.232,8.874,81.404,0.144464645,0.241216648,0.167350499,0.149267849,0.112132082,0.076556435,0.109011842
2013,17,Ring,Y,H,3,7.691,18.16,16.094,15.657,11.332,7.088,15.548,91.57,0.08399039,0.198318226,0.175756252,0.170983947,0.123752321,0.077405264,0.169793601
2013,18,Center,Y,N,3,18.4,16.159,14.742,14.116,10.36,7.227,15.832,96.836,0.190011979,0.166869759,0.152236771,0.145772233,0.106985006,0.074631335,0.163492916
2013,18,Ring,Y,N,3,15.147,19.88,16.545,14.916,10.79,6.993,14.376,98.647,0.153547498,0.201526656,0.167719241,0.151205815,0.10937991,0.07088913,0.145731751
2013,19,Center,Y,N,4,18.859,19.35,16.577,14.814,11.054,7.501,15.42,103.575,0.182080618,0.186821144,0.160048274,0.143026792,0.106724596,0.072420951,0.148877625
2013,19,Ring,Y,N,4,11.858,18.019,17.822,16.488,11.854,7.793,17.014,100.848,0.117582897,0.178674837,0.176721403,0.163493574,0.117543233,0.07727471,0.168709345
2013,20,Center,Y,L,4,13.513,16.584,12.791,12.382,9.965,6.996,14.657,86.888,0.155522051,0.190866403,0.147212503,0.142505294,0.114687874,0.080517448,0.168688426
2013,20,Ring,Y,L,4,12.443,12.901,13.194,13.237,10.71,7.746,16.49,86.721,0.143483124,0.148764428,0.15214308,0.152638923,0.123499498,0.089320926,0.190150021
2013,21,Center,N,N,4,13.023,17.586,13.994,13.498,10.091,7.161,14.643,89.996,0.144706431,0.195408685,0.1554958,0.149984444,0.112127206,0.079570203,0.162707231
2013,21,Ring,N,N,4,7.98,14.336,15.739,15.956,12.826,8.41,16.798,92.045,0.086696724,0.155749905,0.170992449,0.173349992,0.139344886,0.091368352,0.182497691
2013,22,Center,N,L,4,17.348,19.828,18.536,17.515,13.454,9.016,17.38,113.077,0.153417583,0.175349541,0.163923698,0.154894452,0.118980871,0.079733279,0.153700576
2013,22,Ring,N,L,4,9.231,19.305,16.667,14.801,10.776,7.192,13.582,91.554,0.100825742,0.210859165,0.182045569,0.161664154,0.117701029,0.078554733,0.148349608
2013,23,Center,N,H,4,17.962,20.551,19.285,17.108,12.415,8.174,15.291,110.786,0.162132399,0.185501778,0.174074342,0.154423844,0.112062896,0.073781886,0.138022855
