year,plot,plotLoc,AMFInoc,biochar,WSA,block
2014,1,Ring,Y,H,0.411532924,1
2014,1,Center,Y,H,0.417064123,1
2014,2,Ring,N,N,0.374772014,1
2014,2,Center,N,N,0.329633056,1
2014,3,Ring,Y,N,0.410296296,1
2014,3,Center,Y,N,0.375246324,1
2014,4,Ring,Y,L,0.384431496,1
2014,4,Center,Y,L,0.418382914,1
2014,5,Ring,N,L,0.423975931,1
2014,5,Center,N,L,0.494088222,1
2014,6,Ring,N,H,0.376083574,1
2014,6,Center,N,H,0.466057441,1
2014,7,Ring,N,L,0.442766108,2
2014,7,Center,N,L,0.462757528,2
2014,8,Ring,Y,H,0.540877598,2
2014,8,Center,Y,H,0.463262228,2
2014,9,Ring,N,H,0.365855457,2
2014,9,Center,N,H,0.365330279,2
2014,10,Ring,Y,N,0.442225834,2
2014,10,Center,Y,N,0.343403386,2
2014,11,Ring,N,N,0.397126307,2
2014,11,Center,N,N,0.484755876,2
2014,12,Ring,Y,L,0.374674697,2
2014,12,Center,Y,L,0.357549858,2
2014,13,Ring,N,N,0.32187731,3
2014,13,Center,N,N,0.3195729,3
2014,14,Ring,N,L,0.394850104,3
2014,14,Center,N,L,0.418583386,3
2014,15,Ring,Y,L,0.336588253,3
2014,15,Center,Y,L,0.468493945,3
2014,16,Ring,N,H,0.333257438,3
2014,16,Center,N,H,0.297661338,3
2014,17,Ring,Y,H,0.326921643,3
2014,17,Center,Y,H,0.410912792,3
2014,18,Ring,Y,N,0.267452865,3
2014,18,Center,Y,N,0.301777376,3
