X746	X191	X20	X540	X277	X777	X28	X702	X53	X89	X56	X302	X75	X147	X423	X404	X182	X194	X45	X96	X169	X416	X148	X46	X203	X92	X357	X44	X199	X123	X701	X762	X17	X754	X581	X97	X662	X361	X637	X284	X195	X91	X415	X126	X234	X133	X542	X64	X205	X27	X98	X545	X497	X514	X141	X376	X504	X374	X420	X257	X693	X358	X690	X1	X680	X322	X705	X719	X745	X707	X706	X760	X767	X67	X174	X202	X87	X12	X38	X422	X40	X86	X691	X587	X150	X178	X30	X434	X654	X185	X172	X109	X47	X733	X445	X135	X519	X394	X58	X55	X217	X688	X245	X328	X642	X15	X332	X166	X81	X656	X37	X157	X175	X66	X678	X572	X740	X734	X73	X143	X8	X488	X421	X451	X80	X493	X10	X137	X52	X198	X187	X122	X667	X111	X744	X5	X120	X69	X285	X560	X505	X620	X13	X377	X176	X105	X651	X168	X145	X68	X671	X437	X119	X683	X742	X54	X681	X673	X262	X312	X522	X607	X290	X703	X65	X764	X293	X619	X769	X442	X23	X88	X39	X616	X739	X432	X72	X639	X121	X235	X435	X42	X93	X598	X173	X732	X11	X771	X84	X426	X193	X201	X186	X99	X76	X489	X31	X324	X29	X755
11	0	7	856	2	12	0	103	0	10	1	10	0	0	18	20	59	7	7	222	69	0	8	23	2	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	3	0	1	11	17	3	61	1	241	45	0	0	1	24	3	0	0	0	0	0	1	0	6616	1	0	1	1	0	0	0	0	0	89	0	1	2	284	366	2	168	40	2	0	4	0	47	0	0	27	0	3	4	0	1	12	0	0	9	176	19	0	16	15	5	2657	10	50	71	0	462	3	0	154	2	0	0	0	80	0	2345	2	2	13	12	0	3556	3	242	7	19	63	4	54	1	5712	62	128	8	1	0	0	274	0	0	7	7	10	2	58	0	0	0	1	1	50	2	0	13	5	0	4	8	0	1	0	0	1	0	5	515	41	192	1	2	0	7	0	0	0	0	0	5	3	6	0	1131	0	45	1	14	11	0	10	38	10	448	0	487	1
12	0	1	32	0	0	0	4	0	41	1	0	0	0	2	0	6	0	0	38	9	0	0	6	0	0	0	0	0	0	0	0	1	179	0	0	0	0	0	0	0	0	0	0	0	9	16	0	98	21	292	47	2	5	3	25	3	0	2	0	0	3	4	0	7161	1	11	0	1	0	0	0	0	0	551	1	1	0	301	3090	19	1293	353	6	1	17	0	135	1	0	7	0	0	0	0	4	40	0	0	2	91	10	0	2	1	0	866	3	2	12	0	119	0	0	115	3	5	1	0	115	25	2218	3	1	1	0	0	886	0	51	10	10	19	1	33	0	1925	15	57	7	1	0	0	153	0	0	0	2	0	8	28	0	0	0	0	0	25	0	0	11	7	0	0	2	0	0	0	0	0	0	0	121	10	88	0	0	0	113	0	1	0	0	2	0	0	1	0	376	0	26	0	3	0	3	1	10	0	135	0	28	0
13	1	15	1112	1	0	0	12	0	27	0	0	0	1	0	0	0	0	0	103	15	8	12	4	0	0	0	0	17	100	0	11	1	1479	0	0	0	0	0	0	0	1	0	0	0	4	0	4	56	13	820	26	0	1	1	14	2	0	0	0	0	0	0	0	2686	2	2	2	0	0	0	0	0	0	0	0	2	16	560	6	0	1	0	0	0	0	0	143	0	0	0	0	0	40	0	0	13	2	0	25	95	5	0	1	1	0	850	1	0	8	0	81	0	0	69	1	1	0	3	65	42	1488	4	1	1	0	0	850	0	46	5	11	15	0	10	0	2364	22	56	4	0	0	0	138	0	0	20	0	0	0	95	1	0	0	0	0	27	0	0	2	0	0	0	3	0	15	0	1	1	0	1	193	2	29	0	0	0	44	0	0	1	0	18	12	0	24	2	2508	1	50	16	3	19	1	27	10	0	66	0	156	0
14	0	4	196	0	0	0	2	0	4	0	10	0	1	9	0	0	0	0	80	20	21	1	11	0	0	0	0	273	3	7	0	0	386	0	0	0	0	0	0	0	0	0	0	0	4	7	0	41	0	59	19	1	0	0	12	0	0	0	0	0	0	3	0	2812	0	0	1	1	1	1	0	0	0	4	37	2	12	736	0	0	64	5	0	0	3	0	221	0	0	0	0	6	4	0	2	4	0	0	0	60	4	0	1	1	0	1071	2	14	138	0	78	0	0	86	0	0	0	0	49	0	1199	3	0	5	0	0	1117	0	91	3	9	20	1	16	0	2477	13	54	1	0	0	0	12	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	4	2	0	0	4	0	4	0	0	1	0	0	344	13	140	1	0	0	0	0	0	2	0	46	13	1	0	0	427	0	45	0	10	1	0	18	0	0	64	0	273	0
15	0	1	177	0	0	0	2	1	161	0	1	0	0	0	0	0	0	0	49	8	19	0	3	1	0	0	0	1	1	0	0	0	82	0	0	0	0	0	0	0	0	0	0	10	0	0	0	74	11	315	24	1	1	1	17	1	0	0	0	0	0	3	2	4709	0	3	2	0	0	0	0	0	0	0	0	4	23	407	0	0	9	0	0	0	0	0	22	0	0	0	0	0	0	0	1	6	3	0	211	22	0	0	1	0	0	231	0	0	1	0	7	0	1	17	0	2	0	0	73	35	1734	4	3	0	9	0	180	4	7	5	4	1	0	1	0	433	6	28	0	0	0	0	17	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	25	0	0	0	0	1	255	3	39	0	0	0	0	0	0	0	0	5	0	0	2	0	68	0	2	0	0	4	0	2	17	1	119	0	26	0
16	1	5	698	2	0	0	9	1	91	0	2	0	1	2	0	0	0	0	34	6	14	0	8	0	0	0	0	0	4	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	2	1	1	42	117	865	21	0	1	1	1	1	2	0	0	0	0	0	1	2642	1	3	0	0	0	0	2	0	0	4	0	5	2	540	0	0	31	1	0	0	49	0	23	0	0	0	0	4	8	0	0	7	2	0	152	26	4	0	0	0	0	260	0	2	4	0	19	0	0	5	0	0	0	0	16	197	866	0	0	0	7	0	251	1	16	1	6	4	0	10	0	629	5	24	0	0	0	0	24	0	0	1	0	1	0	14	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	2	1	0	468	7	62	0	0	0	55	0	0	1	0	15	0	0	5	0	160	0	8	0	1	0	0	10	55	0	40	0	369	0
17	1	29	2202	5	0	0	4	0	61	0	83	0	0	0	0	1	3	0	165	23	10	6	13	2	0	731	76	3	0	0	0	0	109	0	0	0	0	0	0	0	2	7	0	0	2	0	1	142	0	197	48	1	1	0	15	5	0	1	0	0	3	6	4	9554	1	15	0	0	1	1	0	0	1	48	21	28	126	2144	4	0	123	30	0	0	11	0	565	5	0	0	0	0	0	0	3	13	2	0	114	41	2	0	2	0	0	416	2	1	4	0	69	0	0	27	1	8	1	0	67	0	3477	2	3	1	0	0	308	0	14	9	8	5	0	7	0	747	2	41	2	2	0	0	28	0	1	3	0	1	0	2	0	0	0	0	0	3	0	0	0	1	1	1	1	0	1	0	1	1	0	1	685	29	157	1	0	0	239	1	1	9	0	61	3	1	2	0	423	0	4	0	6	2	1	22	2	0	198	3	642	1
18	0	18	1206	0	0	0	154	0	1	0	1	0	0	1	0	0	0	0	117	15	0	1	21	4	0	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	1	9	0	0	12	9	4	189	0	3823	71	3	4	1	47	44	0	0	0	0	3	11	0	8903	11	10	1	0	1	0	0	0	0	13	0	18	109	1202	1	0	23	3	0	0	2	0	600	7	0	0	0	0	1	0	4	41	0	0	18	277	20	0	2	5	0	1157	1	14	2	0	408	2	0	134	0	6	5	2	259	0	4057	18	4	5	0	0	879	0	85	13	32	16	0	44	1	3105	31	158	15	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	1	0	6	0	9	0	1	0	0	2	272	9	55	0	0	0	2	0	0	0	0	4	3	0	3	0	338	0	2	2	1	0	15	12	149	3	176	0	170	0
19	0	3	726	4	0	0	254	0	66	2	5	0	0	1	0	0	0	0	89	16	0	2	7	110	7	0	0	0	2	0	0	0	127	0	0	0	0	0	0	0	0	1	0	1	3	4	1	32	0	63	20	0	1	3	9	0	0	0	0	0	0	1	0	3501	0	4	1	0	0	0	0	0	0	26	0	18	34	818	3	0	38	22	0	5	0	0	232	2	0	0	0	0	0	0	2	6	0	0	2	38	4	0	4	2	0	809	0	11	65	0	71	0	1	48	0	1	1	0	21	0	1196	1	3	2	6	0	870	2	58	1	3	16	0	13	0	1743	16	42	3	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	3	3	1	1	0	0	0	1	0	0	1	338	1	7	0	0	0	11	0	2	0	0	36	0	0	0	0	55	0	4	0	0	0	0	0	153	1	152	0	266	1
20	1	23	1698	7	0	0	4	0	28	0	0	0	0	0	0	0	0	0	138	24	0	0	25	857	60	0	0	1	31	0	0	0	710	0	0	0	0	0	0	0	0	0	0	151	10	16	3	108	0	125	41	2	1	0	30	4	0	2	0	0	0	5	0	7919	0	2	2	1	1	0	0	0	0	0	22	20	38	1140	0	0	65	0	0	2	0	0	11	0	0	0	0	7	50	0	0	13	0	0	0	161	12	0	3	13	0	1215	8	7	87	2	64	0	37	76	0	0	0	1	48	0	2914	3	3	2	278	2	2119	66	160	33	9	40	3	38	1	2960	42	106	2	2	0	0	85	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0	3	1	0	0	1	0	0	0	2	0	0	2	262	9	42	1	0	0	25	0	0	0	0	0	0	1	11	0	688	1	42	0	12	0	0	3	0	0	106	0	272	0
