Plot,AMF,Biochar,Block
1,Y,H,1
2,N,N,1
3,Y,N,1
4,Y,L,1
5,N,L,1
6,N,H,1
7,N,L,2
8,Y,H,2
9,N,H,2
10,Y,N,2
11,N,N,2
12,Y,L,2
13,N,N,3
14,N,L,3
15,Y,L,3
16,N,H,3
17,Y,H,3
18,Y,N,3
19,Y,N,4
20,Y,L,4
21,N,N,4
22,N,L,4
23,N,H,4
24,Y,H,4
25,Y,L,5
26,N,H,5
27,N,L,5
28,Y,H,5
29,Y,N,5
30,N,N,5
31,N,H,6
32,Y,N,6
33,Y,H,6
34,N,N,6
35,Y,L,6
36,N,L,6
